O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
17-2199.06,Microsystems Engineers,0.6296,0.697,-0.0674,0.791,0.843
17-2141.01,Fuel Cell Engineers,0.6291,0.6762,-0.0471,0.79,0.779
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.6288,0.6726,-0.0438,0.789,0.765
25-1067.00,"Sociology Teachers, Postsecondary",0.6287,0.6744,-0.0457,0.788,0.775
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",0.6286,0.6709,-0.0423,0.787,0.76
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",0.6283,0.6762,-0.0479,0.785,0.779
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6282,0.6882,-0.06,0.784,0.819
27-4032.00,Film and Video Editors,0.6282,0.6782,-0.05,0.783,0.785
53-6041.00,Traffic Technicians,0.6277,0.6729,-0.0452,0.782,0.767
11-3071.04,Supply Chain Managers,0.6271,0.6516,-0.0245,0.781,0.717
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.627,0.673,-0.046,0.78,0.768
43-6012.00,Legal Secretaries and Administrative Assistants,0.627,0.7038,-0.0768,0.779,0.859
25-1053.00,"Environmental Science Teachers, Postsecondary",0.6268,0.6734,-0.0466,0.778,0.771
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",0.6266,0.6707,-0.0441,0.777,0.757
25-9031.00,Instructional Coordinators,0.6265,0.681,-0.0545,0.776,0.799
27-1024.00,Graphic Designers,0.6261,0.7185,-0.0924,0.775,0.885
11-3012.00,Administrative Services Managers,0.6257,0.6743,-0.0486,0.774,0.774
11-9161.00,Emergency Management Directors,0.6255,0.6803,-0.0548,0.772,0.796
17-2199.03,"Energy Engineers, Except Wind and Solar",0.6252,0.663,-0.0378,0.771,0.746
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.6249,0.6802,-0.0553,0.77,0.794
17-2161.00,Nuclear Engineers,0.6248,0.6711,-0.0463,0.769,0.762
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.6248,0.6702,-0.0454,0.768,0.756
17-2111.02,Fire-Prevention and Protection Engineers,0.6245,0.6459,-0.0214,0.767,0.704
15-1299.05,Information Security Engineers,0.6244,0.6755,-0.0511,0.766,0.776
19-3041.00,Sociologists,0.6243,0.6901,-0.0658,0.765,0.825
25-3041.00,Tutors,0.6242,0.6573,-0.0331,0.764,0.73
17-2051.01,Transportation Engineers,0.6237,0.6465,-0.0228,0.763,0.706
25-1066.00,"Psychology Teachers, Postsecondary",0.6234,0.6668,-0.0434,0.762,0.752
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.6231,0.6597,-0.0366,0.761,0.737
19-1041.00,Epidemiologists,0.6229,0.6715,-0.0486,0.759,0.763
27-3031.00,Public Relations Specialists,0.6227,0.6882,-0.0655,0.758,0.819
15-2011.00,Actuaries,0.6225,0.6558,-0.0333,0.757,0.726
