soc6,title,original,AIOE,narrow,broad
29-1041,Optometrists,0.3918,0.504,0.3918,0.3918
51-5111,Prepress Technicians and Workers,0.4087,0.4108,0.4038,0.3467
29-1023,Orthodontists,0.4587,0.1617,0.4105,0.4105
53-4031,Railroad Conductors and Yardmasters,0.5899,-0.4663,0.5899,0.5826
25-2059,Adapted Physical Education Specialists,0.6303,-0.6633,0.6303,0.6303
17-3029,Non-Destructive Testing Specialists,0.448,0.1941,0.4156,0.4125
53-2012,Commercial Pilots,0.5198,-0.1817,0.5198,0.5
29-1123,Physical Therapists,0.5532,-0.3582,0.5384,0.5334
29-2011,Cytogenetic Technologists,0.419,0.2818,0.3742,0.3644
31-9099,Speech-Language Pathology Assistants,0.4371,0.166,0.388,0.3822
29-9099,Midwives,0.423,0.2296,0.4037,0.4037
33-3031,Fish and Game Wardens,0.5631,-0.4585,0.5299,0.5299
39-3091,Amusement and Recreation Attendants,0.5704,-0.5246,0.5672,0.5672
43-5051,Postal Service Clerks,0.5631,-0.5187,0.5563,0.5563
31-9092,Medical Assistants,0.423,0.1498,0.3906,0.3845
29-2081,"Opticians, Dispensing",0.4269,0.1014,0.4099,0.4022
47-1011,Solar Energy Installation Managers,0.5095,-0.3054,0.4983,0.4983
39-3011,Gambling Dealers,0.4314,0.0606,0.43,0.43
29-1128,Exercise Physiologists,0.4489,-0.0332,0.4489,0.4334
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0.4881,-0.2421,0.4777,0.4777
29-2091,Orthotists and Prosthetists,0.4232,0.0666,0.3775,0.3775
29-2092,Hearing Aid Specialists,0.3176,0.5649,0.2961,0.2749
53-6051,Transportation Inspectors,0.4728,-0.1838,0.4719,0.4655
29-1131,Veterinarians,0.4487,-0.075,0.4423,0.4115
19-4051,Nuclear Technicians,0.3885,0.1697,0.3748,0.3748
53-5021,"Captains, Mates, and Pilots of Water Vessels",0.5032,-0.4282,0.5032,0.4706
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.5293,-0.5549,0.5203,0.5203
33-2022,Forest Fire Inspectors and Prevention Specialists,0.4572,-0.2144,0.4459,0.4459
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.4756,-0.3041,0.4462,0.4446
33-3041,Parking Enforcement Workers,0.541,-0.624,0.5161,0.5161
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.5263,-0.5854,0.5231,0.5231
43-5071,"Shipping, Receiving, and Inventory Clerks",0.5591,-0.7463,0.5121,0.5121
29-1151,Nurse Anesthetists,0.3517,0.2413,0.3316,0.3067
53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.4423,-0.2071,0.4423,0.4075
43-5041,"Meter Readers, Utilities",0.6001,-0.9724,0.5897,0.5743
