O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
15-1255.01,Video Game Designers,0.7389,0.7389,0.0,0.0,0.7389,0.0,0.0,15-1255
17-2031.00,Bioengineers and Biomedical Engineers,0.7386,0.708,0.03395832615427069,-0.03060000000000007,0.708,0.03395832615427069,-0.03060000000000007,17-2031
43-9022.00,Word Processors and Typists,0.7382,0.7236,0.11099365107449108,-0.014599999999999946,0.6972,0.17689857511019433,-0.040999999999999925,43-9022
17-2112.01,Human Factors Engineers and Ergonomists,0.7375,0.7041,0.06002929015364393,-0.033400000000000096,0.7041,0.06002929015364393,-0.033400000000000096,17-2112
43-3021.00,Billing and Posting Clerks,0.734,0.687,0.12231569019135506,-0.04699999999999993,0.687,0.12231569019135506,-0.04699999999999993,43-3021
19-1013.00,Soil and Plant Scientists,0.7338,0.7338,0.0,0.0,0.7338,0.0,0.0,19-1013
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.7333,0.7333,0.0,0.0,0.7333,0.0,0.0,13-2081
19-3011.01,Environmental Economists,0.7325,0.7325,0.0,0.0,0.7037,0.06077235674594617,-0.028800000000000048,19-3011
17-2141.02,Automotive Engineers,0.7283,0.7283,0.0,0.0,0.7215,0.04531384417940556,-0.006799999999999917,17-2141
19-3094.00,Political Scientists,0.728,0.728,0.0,0.0,0.728,0.0,0.0,19-3094
17-3013.00,Mechanical Drafters,0.7276,0.672,0.06951777889096922,-0.05559999999999998,0.672,0.06951777889096922,-0.05559999999999998,17-3013
11-3031.03,Investment Fund Managers,0.7267,0.7267,0.0,0.0,0.7267,0.0,0.0,11-3031
17-2051.02,Water/Wastewater Engineers,0.7265,0.6399,0.11661608326358586,-0.08660000000000001,0.6399,0.11661608326358586,-0.08660000000000001,17-2051
15-1299.04,Penetration Testers,0.7261,0.7261,0.0,0.0,0.7261,0.0,0.0,15-1299
13-1041.08,Customs Brokers,0.726,0.694,0.037672307999657526,-0.03200000000000003,0.694,0.037672307999657526,-0.03200000000000003,13-1041
41-9031.00,Sales Engineers,0.7248,0.668,0.09530717066447647,-0.05679999999999996,0.668,0.09530717066447647,-0.05679999999999996,41-9031
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.7238,0.7238,0.0,0.0,0.7238,0.0,0.0,41-3031
19-2041.03,Industrial Ecologists,0.7237,0.6922,0.04847554249174762,-0.03149999999999997,0.6922,0.04847554249174762,-0.03149999999999997,19-2041
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.7224,0.7224,0.0,0.0,0.7224,0.0,0.0,13-1141
15-1299.08,Computer Systems Engineers/Architects,0.7224,0.7224,0.0,0.0,0.7224,0.0,0.0,15-1299
15-1232.00,Computer User Support Specialists,0.721,0.6823,0.07503952997521757,-0.03869999999999996,0.6823,0.07503952997521757,-0.03869999999999996,15-1232
