O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.254,18,0.115,0.7163,0.0504,0.0,0.0,0.0589,0.1791,0.0,0.6555,0.0,0.0562,0.191
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.2526,16,0.0795,0.7163,0.0517,0.0,0.0,0.0795,0.2569,0.0767,0.4594,0.0759,0.0,0.19
27-2042.00,Musicians and Singers,0.2507,29,0.116,0.742,0.0,0.0,0.6685,0.116,0.0,0.0284,0.1291,0.0581,0.0,0.189
31-9097.00,Phlebotomists,0.2486,23,0.0934,0.7287,0.0,0.2347,0.0,0.1202,0.0,0.0,0.5972,0.0478,0.0,0.187
47-2073.00,Operating Engineers and Other Construction Equipment Operators,0.2485,26,0.1298,0.7562,0.0349,0.0,0.0,0.2089,0.3052,0.0,0.4509,0.0,0.0,0.186
51-4051.00,Metal-Refining Furnace Operators and Tenders,0.2467,15,0.0842,0.7562,0.0783,0.0,0.0,0.0842,0.1112,0.0486,0.6777,0.0,0.0,0.185
45-4011.00,Forest and Conservation Workers,0.2461,17,0.1265,0.7408,0.0473,0.0,0.0,0.0569,0.1255,0.0,0.6153,0.1549,0.0,0.184
49-9081.00,Wind Turbine Service Technicians,0.2453,12,0.0,0.3811,0.0,0.0,0.0,0.0,0.0,0.0,0.9286,0.0714,0.0,0.183
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",0.2452,20,0.1084,0.8315,0.0,0.0,0.0,0.1084,0.2675,0.0,0.6241,0.0,0.0,0.182
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.245,11,0.0954,0.8026,0.0,0.0,0.0,0.0954,0.2919,0.0,0.6127,0.0,0.0,0.181
47-2211.00,Sheet Metal Workers,0.2441,19,0.1426,0.7319,0.1024,0.0,0.0387,0.0638,0.0,0.0632,0.7319,0.0,0.0,0.18
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.2441,13,0.1073,0.8065,0.0,0.0,0.0,0.1073,0.3012,0.0,0.5053,0.0862,0.0,0.179
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.2439,12,0.1487,0.7634,0.0691,0.0,0.0,0.0796,0.0,0.0,0.7634,0.0879,0.0,0.178
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.2436,23,0.079,0.664,0.0,0.0,0.0,0.079,0.3654,0.0,0.4824,0.0732,0.0,0.177
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,0.2431,14,0.0784,0.73,0.0709,0.0,0.0,0.0784,0.0,0.0,0.73,0.1207,0.0,0.176
49-3041.00,Farm Equipment Mechanics and Service Technicians,0.2422,14,0.132,0.7789,0.0439,0.0,0.0,0.1772,0.0,0.0,0.7789,0.0,0.0,0.174
51-5113.00,Print Binding and Finishing Workers,0.2419,25,0.1091,0.7677,0.0,0.0,0.0,0.1091,0.2634,0.0,0.5532,0.0743,0.0,0.173
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0.2412,16,0.1298,0.7511,0.0704,0.0,0.0911,0.0875,0.0512,0.0,0.6999,0.0,0.0,0.172
49-9097.00,Signal and Track Switch Repairers,0.2412,12,0.0869,0.9131,0.0,0.0,0.0,0.0869,0.0993,0.0,0.8138,0.0,0.0,0.171
29-1071.01,Anesthesiologist Assistants,0.2396,16,0.116,0.6965,0.0,0.5511,0.0,0.116,0.0,0.0514,0.2815,0.0,0.0,0.17
45-4022.00,Logging Equipment Operators,0.2388,9,0.098,0.7857,0.0,0.0,0.0,0.098,0.5829,0.0,0.3191,0.0,0.0,0.169
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0.2388,20,0.0988,0.7748,0.0,0.0,0.0,0.1371,0.0572,0.0356,0.7702,0.0,0.0,0.168
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",0.2386,13,0.2093,0.7907,0.0,0.0,0.0,0.2093,0.0856,0.0,0.7052,0.0,0.0,0.167
51-4192.00,"Layout Workers, Metal and Plastic",0.2383,14,0.1416,0.7119,0.0,0.0,0.1991,0.0,0.0844,0.089,0.6275,0.0,0.0,0.166
